sorted_opacity shape: torch.Size([1059, 1]), gauss_weight shape: torch.Size([64, 1059])
sorted_opacity shape: torch.Size([1184, 1]), gauss_weight shape: torch.Size([64, 1184])
sorted_opacity shape: torch.Size([1346, 1]), gauss_weight shape: torch.Size([64, 1346])
sorted_opacity shape: torch.Size([1469, 1]), gauss_weight shape: torch.Size([64, 1469])
sorted_opacity shape: torch.Size([1569, 1]), gauss_weight shape: torch.Size([64, 1569])
sorted_opacity shape: torch.Size([1661, 1]), gauss_weight shape: torch.Size([64, 1661])
sorted_opacity shape: torch.Size([1709, 1]), gauss_weight shape: torch.Size([64, 1709])
sorted_opacity shape: torch.Size([1730, 1]), gauss_weight shape: torch.Size([64, 1730])
sorted_opacity shape: torch.Size([1663, 1]), gauss_weight shape: torch.Size([64, 1663])
sorted_opacity shape: torch.Size([1575, 1]), gauss_weight shape: torch.Size([64, 1575])
sorted_opacity shape: torch.Size([1462, 1]), gauss_weight shape: torch.Size([64, 1462])
sorted_opacity shape: torch.Size([1344, 1]), gauss_weight shape: torch.Size([64, 1344])
sorted_opacity shape: torch.Size([1225, 1]), gauss_weight shape: torch.Size([64, 1225])
sorted_opacity shape: torch.Size([1089, 1]), gauss_weight shape: torch.Size([64, 1089])
sorted_opacity shape: torch.Size([960, 1]), gauss_weight shape: torch.Size([64, 960])
sorted_opacity shape: torch.Size([830, 1]), gauss_weight shape: torch.Size([64, 830])
sorted_opacity shape: torch.Size([705, 1]), gauss_weight shape: torch.Size([64, 705])
sorted_opacity shape: torch.Size([609, 1]), gauss_weight shape: torch.Size([64, 609])
sorted_opacity shape: torch.Size([461, 1]), gauss_weight shape: torch.Size([64, 461])
sorted_opacity shape: torch.Size([317, 1]), gauss_weight shape: torch.Size([64, 317])
sorted_opacity shape: torch.Size([210, 1]), gauss_weight shape: torch.Size([64, 210])
sorted_opacity shape: torch.Size([121, 1]), gauss_weight shape: torch.Size([64, 121])
sorted_opacity shape: torch.Size([73, 1]), gauss_weight shape: torch.Size([64, 73])
sorted_opacity shape: torch.Size([54, 1]), gauss_weight shape: torch.Size([64, 54])
sorted_opacity shape: torch.Size([41, 1]), gauss_weight shape: torch.Size([64, 41])
sorted_opacity shape: torch.Size([40, 1]), gauss_weight shape: torch.Size([64, 40])
sorted_opacity shape: torch.Size([29, 1]), gauss_weight shape: torch.Size([64, 29])
sorted_opacity shape: torch.Size([23, 1]), gauss_weight shape: torch.Size([64, 23])
sorted_opacity shape: torch.Size([20, 1]), gauss_weight shape: torch.Size([64, 20])
