sorted_opacity shape: torch.Size([29, 1]), gauss_weight shape: torch.Size([64, 29])
sorted_opacity shape: torch.Size([26, 1]), gauss_weight shape: torch.Size([64, 26])
sorted_opacity shape: torch.Size([20, 1]), gauss_weight shape: torch.Size([64, 20])
sorted_opacity shape: torch.Size([18, 1]), gauss_weight shape: torch.Size([64, 18])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([64, 16])
sorted_opacity shape: torch.Size([13, 1]), gauss_weight shape: torch.Size([64, 13])
sorted_opacity shape: torch.Size([12, 1]), gauss_weight shape: torch.Size([64, 12])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([64, 16])
sorted_opacity shape: torch.Size([21, 1]), gauss_weight shape: torch.Size([64, 21])
sorted_opacity shape: torch.Size([23, 1]), gauss_weight shape: torch.Size([64, 23])
sorted_opacity shape: torch.Size([25, 1]), gauss_weight shape: torch.Size([64, 25])
sorted_opacity shape: torch.Size([31, 1]), gauss_weight shape: torch.Size([64, 31])
sorted_opacity shape: torch.Size([37, 1]), gauss_weight shape: torch.Size([64, 37])
sorted_opacity shape: torch.Size([39, 1]), gauss_weight shape: torch.Size([64, 39])
sorted_opacity shape: torch.Size([46, 1]), gauss_weight shape: torch.Size([64, 46])
sorted_opacity shape: torch.Size([65, 1]), gauss_weight shape: torch.Size([64, 65])
sorted_opacity shape: torch.Size([107, 1]), gauss_weight shape: torch.Size([64, 107])
sorted_opacity shape: torch.Size([172, 1]), gauss_weight shape: torch.Size([64, 172])
sorted_opacity shape: torch.Size([290, 1]), gauss_weight shape: torch.Size([64, 290])
sorted_opacity shape: torch.Size([454, 1]), gauss_weight shape: torch.Size([64, 454])
sorted_opacity shape: torch.Size([578, 1]), gauss_weight shape: torch.Size([64, 578])
sorted_opacity shape: torch.Size([686, 1]), gauss_weight shape: torch.Size([64, 686])
sorted_opacity shape: torch.Size([835, 1]), gauss_weight shape: torch.Size([64, 835])
sorted_opacity shape: torch.Size([969, 1]), gauss_weight shape: torch.Size([64, 969])
sorted_opacity shape: torch.Size([1113, 1]), gauss_weight shape: torch.Size([64, 1113])
sorted_opacity shape: torch.Size([1231, 1]), gauss_weight shape: torch.Size([64, 1231])
sorted_opacity shape: torch.Size([1364, 1]), gauss_weight shape: torch.Size([64, 1364])
sorted_opacity shape: torch.Size([1483, 1]), gauss_weight shape: torch.Size([64, 1483])
sorted_opacity shape: torch.Size([1599, 1]), gauss_weight shape: torch.Size([64, 1599])
sorted_opacity shape: torch.Size([1695, 1]), gauss_weight shape: torch.Size([64, 1695])
sorted_opacity shape: torch.Size([1754, 1]), gauss_weight shape: torch.Size([64, 1754])
sorted_opacity shape: torch.Size([1757, 1]), gauss_weight shape: torch.Size([64, 1757])
sorted_opacity shape: torch.Size([1711, 1]), gauss_weight shape: torch.Size([64, 1711])
sorted_opacity shape: torch.Size([1614, 1]), gauss_weight shape: torch.Size([64, 1614])
sorted_opacity shape: torch.Size([1493, 1]), gauss_weight shape: torch.Size([64, 1493])
sorted_opacity shape: torch.Size([1373, 1]), gauss_weight shape: torch.Size([64, 1373])
sorted_opacity shape: torch.Size([1248, 1]), gauss_weight shape: torch.Size([64, 1248])
sorted_opacity shape: torch.Size([1128, 1]), gauss_weight shape: torch.Size([64, 1128])
sorted_opacity shape: torch.Size([1004, 1]), gauss_weight shape: torch.Size([64, 1004])
sorted_opacity shape: torch.Size([855, 1]), gauss_weight shape: torch.Size([64, 855])
sorted_opacity shape: torch.Size([705, 1]), gauss_weight shape: torch.Size([64, 705])
sorted_opacity shape: torch.Size([571, 1]), gauss_weight shape: torch.Size([64, 571])
sorted_opacity shape: torch.Size([465, 1]), gauss_weight shape: torch.Size([64, 465])
sorted_opacity shape: torch.Size([317, 1]), gauss_weight shape: torch.Size([64, 317])
sorted_opacity shape: torch.Size([191, 1]), gauss_weight shape: torch.Size([64, 191])
sorted_opacity shape: torch.Size([120, 1]), gauss_weight shape: torch.Size([64, 120])
sorted_opacity shape: torch.Size([74, 1]), gauss_weight shape: torch.Size([64, 74])
sorted_opacity shape: torch.Size([61, 1]), gauss_weight shape: torch.Size([64, 61])
sorted_opacity shape: torch.Size([52, 1]), gauss_weight shape: torch.Size([64, 52])
sorted_opacity shape: torch.Size([42, 1]), gauss_weight shape: torch.Size([64, 42])
sorted_opacity shape: torch.Size([32, 1]), gauss_weight shape: torch.Size([64, 32])
sorted_opacity shape: torch.Size([29, 1]), gauss_weight shape: torch.Size([64, 29])
sorted_opacity shape: torch.Size([22, 1]), gauss_weight shape: torch.Size([64, 22])
sorted_opacity shape: torch.Size([20, 1]), gauss_weight shape: torch.Size([64, 20])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([64, 16])
sorted_opacity shape: torch.Size([13, 1]), gauss_weight shape: torch.Size([64, 13])
sorted_opacity shape: torch.Size([12, 1]), gauss_weight shape: torch.Size([64, 12])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([64, 16])
sorted_opacity shape: torch.Size([21, 1]), gauss_weight shape: torch.Size([64, 21])
sorted_opacity shape: torch.Size([23, 1]), gauss_weight shape: torch.Size([64, 23])
sorted_opacity shape: torch.Size([25, 1]), gauss_weight shape: torch.Size([64, 25])
sorted_opacity shape: torch.Size([31, 1]), gauss_weight shape: torch.Size([64, 31])
sorted_opacity shape: torch.Size([37, 1]), gauss_weight shape: torch.Size([64, 37])
sorted_opacity shape: torch.Size([39, 1]), gauss_weight shape: torch.Size([64, 39])
sorted_opacity shape: torch.Size([47, 1]), gauss_weight shape: torch.Size([64, 47])
sorted_opacity shape: torch.Size([67, 1]), gauss_weight shape: torch.Size([64, 67])
sorted_opacity shape: torch.Size([111, 1]), gauss_weight shape: torch.Size([64, 111])
sorted_opacity shape: torch.Size([177, 1]), gauss_weight shape: torch.Size([64, 177])
sorted_opacity shape: torch.Size([298, 1]), gauss_weight shape: torch.Size([64, 298])
sorted_opacity shape: torch.Size([467, 1]), gauss_weight shape: torch.Size([64, 467])
sorted_opacity shape: torch.Size([607, 1]), gauss_weight shape: torch.Size([64, 607])
sorted_opacity shape: torch.Size([726, 1]), gauss_weight shape: torch.Size([64, 726])
sorted_opacity shape: torch.Size([889, 1]), gauss_weight shape: torch.Size([64, 889])
sorted_opacity shape: torch.Size([1036, 1]), gauss_weight shape: torch.Size([64, 1036])
sorted_opacity shape: torch.Size([1191, 1]), gauss_weight shape: torch.Size([64, 1191])
sorted_opacity shape: torch.Size([1337, 1]), gauss_weight shape: torch.Size([64, 1337])
sorted_opacity shape: torch.Size([1486, 1]), gauss_weight shape: torch.Size([64, 1486])
sorted_opacity shape: torch.Size([1616, 1]), gauss_weight shape: torch.Size([64, 1616])
sorted_opacity shape: torch.Size([1737, 1]), gauss_weight shape: torch.Size([64, 1737])
sorted_opacity shape: torch.Size([1836, 1]), gauss_weight shape: torch.Size([64, 1836])
sorted_opacity shape: torch.Size([1895, 1]), gauss_weight shape: torch.Size([64, 1895])
sorted_opacity shape: torch.Size([1899, 1]), gauss_weight shape: torch.Size([64, 1899])
sorted_opacity shape: torch.Size([1853, 1]), gauss_weight shape: torch.Size([64, 1853])
sorted_opacity shape: torch.Size([1748, 1]), gauss_weight shape: torch.Size([64, 1748])
sorted_opacity shape: torch.Size([1620, 1]), gauss_weight shape: torch.Size([64, 1620])
sorted_opacity shape: torch.Size([1486, 1]), gauss_weight shape: torch.Size([64, 1486])
sorted_opacity shape: torch.Size([1344, 1]), gauss_weight shape: torch.Size([64, 1344])
sorted_opacity shape: torch.Size([1205, 1]), gauss_weight shape: torch.Size([64, 1205])
sorted_opacity shape: torch.Size([1068, 1]), gauss_weight shape: torch.Size([64, 1068])
sorted_opacity shape: torch.Size([914, 1]), gauss_weight shape: torch.Size([64, 914])
sorted_opacity shape: torch.Size([754, 1]), gauss_weight shape: torch.Size([64, 754])
sorted_opacity shape: torch.Size([603, 1]), gauss_weight shape: torch.Size([64, 603])
sorted_opacity shape: torch.Size([494, 1]), gauss_weight shape: torch.Size([64, 494])
sorted_opacity shape: torch.Size([331, 1]), gauss_weight shape: torch.Size([64, 331])
sorted_opacity shape: torch.Size([201, 1]), gauss_weight shape: torch.Size([64, 201])
sorted_opacity shape: torch.Size([128, 1]), gauss_weight shape: torch.Size([64, 128])
sorted_opacity shape: torch.Size([78, 1]), gauss_weight shape: torch.Size([64, 78])
sorted_opacity shape: torch.Size([65, 1]), gauss_weight shape: torch.Size([64, 65])
sorted_opacity shape: torch.Size([56, 1]), gauss_weight shape: torch.Size([64, 56])
sorted_opacity shape: torch.Size([43, 1]), gauss_weight shape: torch.Size([64, 43])
sorted_opacity shape: torch.Size([32, 1]), gauss_weight shape: torch.Size([64, 32])
sorted_opacity shape: torch.Size([29, 1]), gauss_weight shape: torch.Size([64, 29])
sorted_opacity shape: torch.Size([22, 1]), gauss_weight shape: torch.Size([64, 22])
sorted_opacity shape: torch.Size([20, 1]), gauss_weight shape: torch.Size([64, 20])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([64, 16])
sorted_opacity shape: torch.Size([13, 1]), gauss_weight shape: torch.Size([64, 13])
sorted_opacity shape: torch.Size([12, 1]), gauss_weight shape: torch.Size([64, 12])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([64, 16])
sorted_opacity shape: torch.Size([21, 1]), gauss_weight shape: torch.Size([64, 21])
sorted_opacity shape: torch.Size([23, 1]), gauss_weight shape: torch.Size([64, 23])
sorted_opacity shape: torch.Size([25, 1]), gauss_weight shape: torch.Size([64, 25])
sorted_opacity shape: torch.Size([31, 1]), gauss_weight shape: torch.Size([64, 31])
sorted_opacity shape: torch.Size([37, 1]), gauss_weight shape: torch.Size([64, 37])
sorted_opacity shape: torch.Size([42, 1]), gauss_weight shape: torch.Size([64, 42])
sorted_opacity shape: torch.Size([51, 1]), gauss_weight shape: torch.Size([64, 51])
sorted_opacity shape: torch.Size([75, 1]), gauss_weight shape: torch.Size([64, 75])
sorted_opacity shape: torch.Size([123, 1]), gauss_weight shape: torch.Size([64, 123])
sorted_opacity shape: torch.Size([197, 1]), gauss_weight shape: torch.Size([64, 197])
sorted_opacity shape: torch.Size([326, 1]), gauss_weight shape: torch.Size([64, 326])
sorted_opacity shape: torch.Size([501, 1]), gauss_weight shape: torch.Size([64, 501])
sorted_opacity shape: torch.Size([649, 1]), gauss_weight shape: torch.Size([64, 649])
sorted_opacity shape: torch.Size([784, 1]), gauss_weight shape: torch.Size([64, 784])
sorted_opacity shape: torch.Size([956, 1]), gauss_weight shape: torch.Size([64, 956])
sorted_opacity shape: torch.Size([1111, 1]), gauss_weight shape: torch.Size([64, 1111])
sorted_opacity shape: torch.Size([1275, 1]), gauss_weight shape: torch.Size([64, 1275])
sorted_opacity shape: torch.Size([1429, 1]), gauss_weight shape: torch.Size([64, 1429])
sorted_opacity shape: torch.Size([1599, 1]), gauss_weight shape: torch.Size([64, 1599])
