sorted_opacity shape: torch.Size([2208, 1]), gauss_weight shape: torch.Size([256, 2208])
sorted_opacity shape: torch.Size([2701, 1]), gauss_weight shape: torch.Size([256, 2701])
sorted_opacity shape: torch.Size([3236, 1]), gauss_weight shape: torch.Size([256, 3236])
sorted_opacity shape: torch.Size([3600, 1]), gauss_weight shape: torch.Size([256, 3600])
sorted_opacity shape: torch.Size([3771, 1]), gauss_weight shape: torch.Size([256, 3771])
sorted_opacity shape: torch.Size([3646, 1]), gauss_weight shape: torch.Size([256, 3646])
sorted_opacity shape: torch.Size([3288, 1]), gauss_weight shape: torch.Size([256, 3288])
sorted_opacity shape: torch.Size([2739, 1]), gauss_weight shape: torch.Size([256, 2739])
sorted_opacity shape: torch.Size([2232, 1]), gauss_weight shape: torch.Size([256, 2232])
sorted_opacity shape: torch.Size([1674, 1]), gauss_weight shape: torch.Size([256, 1674])
sorted_opacity shape: torch.Size([1116, 1]), gauss_weight shape: torch.Size([256, 1116])
sorted_opacity shape: torch.Size([551, 1]), gauss_weight shape: torch.Size([256, 551])
sorted_opacity shape: torch.Size([235, 1]), gauss_weight shape: torch.Size([256, 235])
sorted_opacity shape: torch.Size([130, 1]), gauss_weight shape: torch.Size([256, 130])
sorted_opacity shape: torch.Size([71, 1]), gauss_weight shape: torch.Size([256, 71])
sorted_opacity shape: torch.Size([44, 1]), gauss_weight shape: torch.Size([256, 44])
sorted_opacity shape: torch.Size([21, 1]), gauss_weight shape: torch.Size([256, 21])
sorted_opacity shape: torch.Size([39, 1]), gauss_weight shape: torch.Size([256, 39])
sorted_opacity shape: torch.Size([73, 1]), gauss_weight shape: torch.Size([256, 73])
sorted_opacity shape: torch.Size([123, 1]), gauss_weight shape: torch.Size([256, 123])
sorted_opacity shape: torch.Size([185, 1]), gauss_weight shape: torch.Size([256, 185])
sorted_opacity shape: torch.Size([339, 1]), gauss_weight shape: torch.Size([256, 339])
sorted_opacity shape: torch.Size([750, 1]), gauss_weight shape: torch.Size([256, 750])
sorted_opacity shape: torch.Size([1281, 1]), gauss_weight shape: torch.Size([256, 1281])
sorted_opacity shape: torch.Size([1836, 1]), gauss_weight shape: torch.Size([256, 1836])
sorted_opacity shape: torch.Size([2387, 1]), gauss_weight shape: torch.Size([256, 2387])
sorted_opacity shape: torch.Size([2866, 1]), gauss_weight shape: torch.Size([256, 2866])
sorted_opacity shape: torch.Size([3422, 1]), gauss_weight shape: torch.Size([256, 3422])
sorted_opacity shape: torch.Size([3766, 1]), gauss_weight shape: torch.Size([256, 3766])
sorted_opacity shape: torch.Size([3870, 1]), gauss_weight shape: torch.Size([256, 3870])
sorted_opacity shape: torch.Size([3794, 1]), gauss_weight shape: torch.Size([256, 3794])
sorted_opacity shape: torch.Size([3481, 1]), gauss_weight shape: torch.Size([256, 3481])
sorted_opacity shape: torch.Size([2936, 1]), gauss_weight shape: torch.Size([256, 2936])
sorted_opacity shape: torch.Size([2414, 1]), gauss_weight shape: torch.Size([256, 2414])
sorted_opacity shape: torch.Size([1847, 1]), gauss_weight shape: torch.Size([256, 1847])
sorted_opacity shape: torch.Size([1302, 1]), gauss_weight shape: torch.Size([256, 1302])
sorted_opacity shape: torch.Size([684, 1]), gauss_weight shape: torch.Size([256, 684])
sorted_opacity shape: torch.Size([305, 1]), gauss_weight shape: torch.Size([256, 305])
sorted_opacity shape: torch.Size([159, 1]), gauss_weight shape: torch.Size([256, 159])
sorted_opacity shape: torch.Size([81, 1]), gauss_weight shape: torch.Size([256, 81])
sorted_opacity shape: torch.Size([48, 1]), gauss_weight shape: torch.Size([256, 48])
sorted_opacity shape: torch.Size([22, 1]), gauss_weight shape: torch.Size([256, 22])
sorted_opacity shape: torch.Size([39, 1]), gauss_weight shape: torch.Size([256, 39])
sorted_opacity shape: torch.Size([78, 1]), gauss_weight shape: torch.Size([256, 78])
sorted_opacity shape: torch.Size([133, 1]), gauss_weight shape: torch.Size([256, 133])
sorted_opacity shape: torch.Size([205, 1]), gauss_weight shape: torch.Size([256, 205])
sorted_opacity shape: torch.Size([397, 1]), gauss_weight shape: torch.Size([256, 397])
sorted_opacity shape: torch.Size([874, 1]), gauss_weight shape: torch.Size([256, 874])
sorted_opacity shape: torch.Size([1465, 1]), gauss_weight shape: torch.Size([256, 1465])
sorted_opacity shape: torch.Size([2044, 1]), gauss_weight shape: torch.Size([256, 2044])
sorted_opacity shape: torch.Size([2611, 1]), gauss_weight shape: torch.Size([256, 2611])
sorted_opacity shape: torch.Size([3125, 1]), gauss_weight shape: torch.Size([256, 3125])
sorted_opacity shape: torch.Size([3698, 1]), gauss_weight shape: torch.Size([256, 3698])
sorted_opacity shape: torch.Size([4012, 1]), gauss_weight shape: torch.Size([256, 4012])
sorted_opacity shape: torch.Size([4110, 1]), gauss_weight shape: torch.Size([256, 4110])
sorted_opacity shape: torch.Size([4054, 1]), gauss_weight shape: torch.Size([256, 4054])
sorted_opacity shape: torch.Size([3775, 1]), gauss_weight shape: torch.Size([256, 3775])
sorted_opacity shape: torch.Size([3182, 1]), gauss_weight shape: torch.Size([256, 3182])
sorted_opacity shape: torch.Size([2641, 1]), gauss_weight shape: torch.Size([256, 2641])
sorted_opacity shape: torch.Size([2080, 1]), gauss_weight shape: torch.Size([256, 2080])
sorted_opacity shape: torch.Size([1508, 1]), gauss_weight shape: torch.Size([256, 1508])
sorted_opacity shape: torch.Size([811, 1]), gauss_weight shape: torch.Size([256, 811])
sorted_opacity shape: torch.Size([373, 1]), gauss_weight shape: torch.Size([256, 373])
sorted_opacity shape: torch.Size([180, 1]), gauss_weight shape: torch.Size([256, 180])
sorted_opacity shape: torch.Size([91, 1]), gauss_weight shape: torch.Size([256, 91])
sorted_opacity shape: torch.Size([50, 1]), gauss_weight shape: torch.Size([256, 50])
sorted_opacity shape: torch.Size([24, 1]), gauss_weight shape: torch.Size([256, 24])
sorted_opacity shape: torch.Size([39, 1]), gauss_weight shape: torch.Size([256, 39])
sorted_opacity shape: torch.Size([80, 1]), gauss_weight shape: torch.Size([256, 80])
sorted_opacity shape: torch.Size([139, 1]), gauss_weight shape: torch.Size([256, 139])
sorted_opacity shape: torch.Size([234, 1]), gauss_weight shape: torch.Size([256, 234])
sorted_opacity shape: torch.Size([475, 1]), gauss_weight shape: torch.Size([256, 475])
sorted_opacity shape: torch.Size([1044, 1]), gauss_weight shape: torch.Size([256, 1044])
sorted_opacity shape: torch.Size([1689, 1]), gauss_weight shape: torch.Size([256, 1689])
sorted_opacity shape: torch.Size([2281, 1]), gauss_weight shape: torch.Size([256, 2281])
sorted_opacity shape: torch.Size([2888, 1]), gauss_weight shape: torch.Size([256, 2888])
sorted_opacity shape: torch.Size([3466, 1]), gauss_weight shape: torch.Size([256, 3466])
sorted_opacity shape: torch.Size([4076, 1]), gauss_weight shape: torch.Size([256, 4076])
sorted_opacity shape: torch.Size([4326, 1]), gauss_weight shape: torch.Size([256, 4326])
sorted_opacity shape: torch.Size([4370, 1]), gauss_weight shape: torch.Size([256, 4370])
sorted_opacity shape: torch.Size([4369, 1]), gauss_weight shape: torch.Size([256, 4369])
sorted_opacity shape: torch.Size([4124, 1]), gauss_weight shape: torch.Size([256, 4124])
sorted_opacity shape: torch.Size([3489, 1]), gauss_weight shape: torch.Size([256, 3489])
sorted_opacity shape: torch.Size([2909, 1]), gauss_weight shape: torch.Size([256, 2909])
sorted_opacity shape: torch.Size([2315, 1]), gauss_weight shape: torch.Size([256, 2315])
sorted_opacity shape: torch.Size([1741, 1]), gauss_weight shape: torch.Size([256, 1741])
sorted_opacity shape: torch.Size([980, 1]), gauss_weight shape: torch.Size([256, 980])
sorted_opacity shape: torch.Size([449, 1]), gauss_weight shape: torch.Size([256, 449])
sorted_opacity shape: torch.Size([205, 1]), gauss_weight shape: torch.Size([256, 205])
sorted_opacity shape: torch.Size([104, 1]), gauss_weight shape: torch.Size([256, 104])
sorted_opacity shape: torch.Size([60, 1]), gauss_weight shape: torch.Size([256, 60])
sorted_opacity shape: torch.Size([28, 1]), gauss_weight shape: torch.Size([256, 28])
sorted_opacity shape: torch.Size([40, 1]), gauss_weight shape: torch.Size([256, 40])
sorted_opacity shape: torch.Size([86, 1]), gauss_weight shape: torch.Size([256, 86])
sorted_opacity shape: torch.Size([148, 1]), gauss_weight shape: torch.Size([256, 148])
sorted_opacity shape: torch.Size([264, 1]), gauss_weight shape: torch.Size([256, 264])
sorted_opacity shape: torch.Size([568, 1]), gauss_weight shape: torch.Size([256, 568])
sorted_opacity shape: torch.Size([1211, 1]), gauss_weight shape: torch.Size([256, 1211])
sorted_opacity shape: torch.Size([1887, 1]), gauss_weight shape: torch.Size([256, 1887])
sorted_opacity shape: torch.Size([2507, 1]), gauss_weight shape: torch.Size([256, 2507])
sorted_opacity shape: torch.Size([3160, 1]), gauss_weight shape: torch.Size([256, 3160])
sorted_opacity shape: torch.Size([3797, 1]), gauss_weight shape: torch.Size([256, 3797])
sorted_opacity shape: torch.Size([4441, 1]), gauss_weight shape: torch.Size([256, 4441])
sorted_opacity shape: torch.Size([4640, 1]), gauss_weight shape: torch.Size([256, 4640])
sorted_opacity shape: torch.Size([4646, 1]), gauss_weight shape: torch.Size([256, 4646])
sorted_opacity shape: torch.Size([4679, 1]), gauss_weight shape: torch.Size([256, 4679])
sorted_opacity shape: torch.Size([4461, 1]), gauss_weight shape: torch.Size([256, 4461])
sorted_opacity shape: torch.Size([3779, 1]), gauss_weight shape: torch.Size([256, 3779])
sorted_opacity shape: torch.Size([3146, 1]), gauss_weight shape: torch.Size([256, 3146])
sorted_opacity shape: torch.Size([2524, 1]), gauss_weight shape: torch.Size([256, 2524])
sorted_opacity shape: torch.Size([1944, 1]), gauss_weight shape: torch.Size([256, 1944])
sorted_opacity shape: torch.Size([1161, 1]), gauss_weight shape: torch.Size([256, 1161])
sorted_opacity shape: torch.Size([542, 1]), gauss_weight shape: torch.Size([256, 542])
sorted_opacity shape: torch.Size([244, 1]), gauss_weight shape: torch.Size([256, 244])
sorted_opacity shape: torch.Size([121, 1]), gauss_weight shape: torch.Size([256, 121])
