sorted_opacity shape: torch.Size([29, 1]), gauss_weight shape: torch.Size([16, 29])
sorted_opacity shape: torch.Size([26, 1]), gauss_weight shape: torch.Size([16, 26])
sorted_opacity shape: torch.Size([26, 1]), gauss_weight shape: torch.Size([16, 26])
sorted_opacity shape: torch.Size([23, 1]), gauss_weight shape: torch.Size([16, 23])
sorted_opacity shape: torch.Size([20, 1]), gauss_weight shape: torch.Size([16, 20])
sorted_opacity shape: torch.Size([20, 1]), gauss_weight shape: torch.Size([16, 20])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([16, 19])
sorted_opacity shape: torch.Size([17, 1]), gauss_weight shape: torch.Size([16, 17])
sorted_opacity shape: torch.Size([17, 1]), gauss_weight shape: torch.Size([16, 17])
sorted_opacity shape: torch.Size([17, 1]), gauss_weight shape: torch.Size([16, 17])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([16, 16])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([16, 16])
sorted_opacity shape: torch.Size([14, 1]), gauss_weight shape: torch.Size([16, 14])
sorted_opacity shape: torch.Size([15, 1]), gauss_weight shape: torch.Size([16, 15])
sorted_opacity shape: torch.Size([17, 1]), gauss_weight shape: torch.Size([16, 17])
sorted_opacity shape: torch.Size([18, 1]), gauss_weight shape: torch.Size([16, 18])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([16, 19])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([16, 19])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([16, 19])
sorted_opacity shape: torch.Size([24, 1]), gauss_weight shape: torch.Size([16, 24])
sorted_opacity shape: torch.Size([27, 1]), gauss_weight shape: torch.Size([16, 27])
sorted_opacity shape: torch.Size([28, 1]), gauss_weight shape: torch.Size([16, 28])
sorted_opacity shape: torch.Size([29, 1]), gauss_weight shape: torch.Size([16, 29])
sorted_opacity shape: torch.Size([30, 1]), gauss_weight shape: torch.Size([16, 30])
sorted_opacity shape: torch.Size([35, 1]), gauss_weight shape: torch.Size([16, 35])
sorted_opacity shape: torch.Size([35, 1]), gauss_weight shape: torch.Size([16, 35])
sorted_opacity shape: torch.Size([38, 1]), gauss_weight shape: torch.Size([16, 38])
sorted_opacity shape: torch.Size([39, 1]), gauss_weight shape: torch.Size([16, 39])
sorted_opacity shape: torch.Size([42, 1]), gauss_weight shape: torch.Size([16, 42])
sorted_opacity shape: torch.Size([47, 1]), gauss_weight shape: torch.Size([16, 47])
sorted_opacity shape: torch.Size([54, 1]), gauss_weight shape: torch.Size([16, 54])
sorted_opacity shape: torch.Size([64, 1]), gauss_weight shape: torch.Size([16, 64])
sorted_opacity shape: torch.Size([81, 1]), gauss_weight shape: torch.Size([16, 81])
sorted_opacity shape: torch.Size([96, 1]), gauss_weight shape: torch.Size([16, 96])
sorted_opacity shape: torch.Size([119, 1]), gauss_weight shape: torch.Size([16, 119])
sorted_opacity shape: torch.Size([158, 1]), gauss_weight shape: torch.Size([16, 158])
sorted_opacity shape: torch.Size([186, 1]), gauss_weight shape: torch.Size([16, 186])
sorted_opacity shape: torch.Size([221, 1]), gauss_weight shape: torch.Size([16, 221])
sorted_opacity shape: torch.Size([262, 1]), gauss_weight shape: torch.Size([16, 262])
sorted_opacity shape: torch.Size([307, 1]), gauss_weight shape: torch.Size([16, 307])
sorted_opacity shape: torch.Size([345, 1]), gauss_weight shape: torch.Size([16, 345])
sorted_opacity shape: torch.Size([393, 1]), gauss_weight shape: torch.Size([16, 393])
sorted_opacity shape: torch.Size([438, 1]), gauss_weight shape: torch.Size([16, 438])
sorted_opacity shape: torch.Size([481, 1]), gauss_weight shape: torch.Size([16, 481])
sorted_opacity shape: torch.Size([535, 1]), gauss_weight shape: torch.Size([16, 535])
sorted_opacity shape: torch.Size([572, 1]), gauss_weight shape: torch.Size([16, 572])
sorted_opacity shape: torch.Size([626, 1]), gauss_weight shape: torch.Size([16, 626])
sorted_opacity shape: torch.Size([669, 1]), gauss_weight shape: torch.Size([16, 669])
sorted_opacity shape: torch.Size([714, 1]), gauss_weight shape: torch.Size([16, 714])
sorted_opacity shape: torch.Size([760, 1]), gauss_weight shape: torch.Size([16, 760])
sorted_opacity shape: torch.Size([802, 1]), gauss_weight shape: torch.Size([16, 802])
sorted_opacity shape: torch.Size([834, 1]), gauss_weight shape: torch.Size([16, 834])
sorted_opacity shape: torch.Size([866, 1]), gauss_weight shape: torch.Size([16, 866])
sorted_opacity shape: torch.Size([912, 1]), gauss_weight shape: torch.Size([16, 912])
sorted_opacity shape: torch.Size([966, 1]), gauss_weight shape: torch.Size([16, 966])
sorted_opacity shape: torch.Size([1005, 1]), gauss_weight shape: torch.Size([16, 1005])
sorted_opacity shape: torch.Size([1048, 1]), gauss_weight shape: torch.Size([16, 1048])
sorted_opacity shape: torch.Size([1101, 1]), gauss_weight shape: torch.Size([16, 1101])
sorted_opacity shape: torch.Size([1140, 1]), gauss_weight shape: torch.Size([16, 1140])
sorted_opacity shape: torch.Size([1153, 1]), gauss_weight shape: torch.Size([16, 1153])
sorted_opacity shape: torch.Size([1168, 1]), gauss_weight shape: torch.Size([16, 1168])
sorted_opacity shape: torch.Size([1165, 1]), gauss_weight shape: torch.Size([16, 1165])
sorted_opacity shape: torch.Size([1173, 1]), gauss_weight shape: torch.Size([16, 1173])
sorted_opacity shape: torch.Size([1151, 1]), gauss_weight shape: torch.Size([16, 1151])
sorted_opacity shape: torch.Size([1125, 1]), gauss_weight shape: torch.Size([16, 1125])
sorted_opacity shape: torch.Size([1093, 1]), gauss_weight shape: torch.Size([16, 1093])
sorted_opacity shape: torch.Size([1058, 1]), gauss_weight shape: torch.Size([16, 1058])
sorted_opacity shape: torch.Size([1027, 1]), gauss_weight shape: torch.Size([16, 1027])
sorted_opacity shape: torch.Size([990, 1]), gauss_weight shape: torch.Size([16, 990])
sorted_opacity shape: torch.Size([959, 1]), gauss_weight shape: torch.Size([16, 959])
sorted_opacity shape: torch.Size([921, 1]), gauss_weight shape: torch.Size([16, 921])
sorted_opacity shape: torch.Size([877, 1]), gauss_weight shape: torch.Size([16, 877])
sorted_opacity shape: torch.Size([850, 1]), gauss_weight shape: torch.Size([16, 850])
sorted_opacity shape: torch.Size([811, 1]), gauss_weight shape: torch.Size([16, 811])
sorted_opacity shape: torch.Size([759, 1]), gauss_weight shape: torch.Size([16, 759])
sorted_opacity shape: torch.Size([701, 1]), gauss_weight shape: torch.Size([16, 701])
sorted_opacity shape: torch.Size([654, 1]), gauss_weight shape: torch.Size([16, 654])
sorted_opacity shape: torch.Size([608, 1]), gauss_weight shape: torch.Size([16, 608])
sorted_opacity shape: torch.Size([576, 1]), gauss_weight shape: torch.Size([16, 576])
sorted_opacity shape: torch.Size([530, 1]), gauss_weight shape: torch.Size([16, 530])
sorted_opacity shape: torch.Size([488, 1]), gauss_weight shape: torch.Size([16, 488])
sorted_opacity shape: torch.Size([442, 1]), gauss_weight shape: torch.Size([16, 442])
sorted_opacity shape: torch.Size([401, 1]), gauss_weight shape: torch.Size([16, 401])
sorted_opacity shape: torch.Size([368, 1]), gauss_weight shape: torch.Size([16, 368])
sorted_opacity shape: torch.Size([335, 1]), gauss_weight shape: torch.Size([16, 335])
sorted_opacity shape: torch.Size([291, 1]), gauss_weight shape: torch.Size([16, 291])
sorted_opacity shape: torch.Size([253, 1]), gauss_weight shape: torch.Size([16, 253])
sorted_opacity shape: torch.Size([210, 1]), gauss_weight shape: torch.Size([16, 210])
sorted_opacity shape: torch.Size([183, 1]), gauss_weight shape: torch.Size([16, 183])
sorted_opacity shape: torch.Size([146, 1]), gauss_weight shape: torch.Size([16, 146])
sorted_opacity shape: torch.Size([123, 1]), gauss_weight shape: torch.Size([16, 123])
sorted_opacity shape: torch.Size([101, 1]), gauss_weight shape: torch.Size([16, 101])
sorted_opacity shape: torch.Size([81, 1]), gauss_weight shape: torch.Size([16, 81])
sorted_opacity shape: torch.Size([68, 1]), gauss_weight shape: torch.Size([16, 68])
sorted_opacity shape: torch.Size([52, 1]), gauss_weight shape: torch.Size([16, 52])
sorted_opacity shape: torch.Size([44, 1]), gauss_weight shape: torch.Size([16, 44])
sorted_opacity shape: torch.Size([42, 1]), gauss_weight shape: torch.Size([16, 42])
sorted_opacity shape: torch.Size([36, 1]), gauss_weight shape: torch.Size([16, 36])
sorted_opacity shape: torch.Size([33, 1]), gauss_weight shape: torch.Size([16, 33])
sorted_opacity shape: torch.Size([31, 1]), gauss_weight shape: torch.Size([16, 31])
sorted_opacity shape: torch.Size([29, 1]), gauss_weight shape: torch.Size([16, 29])
sorted_opacity shape: torch.Size([26, 1]), gauss_weight shape: torch.Size([16, 26])
sorted_opacity shape: torch.Size([26, 1]), gauss_weight shape: torch.Size([16, 26])
sorted_opacity shape: torch.Size([23, 1]), gauss_weight shape: torch.Size([16, 23])
sorted_opacity shape: torch.Size([20, 1]), gauss_weight shape: torch.Size([16, 20])
sorted_opacity shape: torch.Size([20, 1]), gauss_weight shape: torch.Size([16, 20])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([16, 19])
sorted_opacity shape: torch.Size([17, 1]), gauss_weight shape: torch.Size([16, 17])
sorted_opacity shape: torch.Size([17, 1]), gauss_weight shape: torch.Size([16, 17])
sorted_opacity shape: torch.Size([17, 1]), gauss_weight shape: torch.Size([16, 17])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([16, 16])
sorted_opacity shape: torch.Size([16, 1]), gauss_weight shape: torch.Size([16, 16])
sorted_opacity shape: torch.Size([14, 1]), gauss_weight shape: torch.Size([16, 14])
sorted_opacity shape: torch.Size([15, 1]), gauss_weight shape: torch.Size([16, 15])
sorted_opacity shape: torch.Size([17, 1]), gauss_weight shape: torch.Size([16, 17])
sorted_opacity shape: torch.Size([18, 1]), gauss_weight shape: torch.Size([16, 18])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([16, 19])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([16, 19])
sorted_opacity shape: torch.Size([19, 1]), gauss_weight shape: torch.Size([16, 19])
sorted_opacity shape: torch.Size([24, 1]), gauss_weight shape: torch.Size([16, 24])
sorted_opacity shape: torch.Size([27, 1]), gauss_weight shape: torch.Size([16, 27])
sorted_opacity shape: torch.Size([28, 1]), gauss_weight shape: torch.Size([16, 28])
sorted_opacity shape: torch.Size([29, 1]), gauss_weight shape: torch.Size([16, 29])
sorted_opacity shape: torch.Size([30, 1]), gauss_weight shape: torch.Size([16, 30])
sorted_opacity shape: torch.Size([35, 1]), gauss_weight shape: torch.Size([16, 35])
sorted_opacity shape: torch.Size([35, 1]), gauss_weight shape: torch.Size([16, 35])
sorted_opacity shape: torch.Size([38, 1]), gauss_weight shape: torch.Size([16, 38])
sorted_opacity shape: torch.Size([41, 1]), gauss_weight shape: torch.Size([16, 41])
sorted_opacity shape: torch.Size([44, 1]), gauss_weight shape: torch.Size([16, 44])
sorted_opacity shape: torch.Size([49, 1]), gauss_weight shape: torch.Size([16, 49])
sorted_opacity shape: torch.Size([57, 1]), gauss_weight shape: torch.Size([16, 57])
sorted_opacity shape: torch.Size([67, 1]), gauss_weight shape: torch.Size([16, 67])
sorted_opacity shape: torch.Size([84, 1]), gauss_weight shape: torch.Size([16, 84])
sorted_opacity shape: torch.Size([102, 1]), gauss_weight shape: torch.Size([16, 102])
sorted_opacity shape: torch.Size([128, 1]), gauss_weight shape: torch.Size([16, 128])
sorted_opacity shape: torch.Size([171, 1]), gauss_weight shape: torch.Size([16, 171])
