sorted_opacity shape: torch.Size([1102, 1]), gauss_weight shape: torch.Size([64, 1102])
sorted_opacity shape: torch.Size([1014, 1]), gauss_weight shape: torch.Size([64, 1014])
sorted_opacity shape: torch.Size([878, 1]), gauss_weight shape: torch.Size([64, 878])
sorted_opacity shape: torch.Size([730, 1]), gauss_weight shape: torch.Size([64, 730])
sorted_opacity shape: torch.Size([606, 1]), gauss_weight shape: torch.Size([64, 606])
sorted_opacity shape: torch.Size([475, 1]), gauss_weight shape: torch.Size([64, 475])
sorted_opacity shape: torch.Size([339, 1]), gauss_weight shape: torch.Size([64, 339])
sorted_opacity shape: torch.Size([228, 1]), gauss_weight shape: torch.Size([64, 228])
sorted_opacity shape: torch.Size([118, 1]), gauss_weight shape: torch.Size([64, 118])
sorted_opacity shape: torch.Size([71, 1]), gauss_weight shape: torch.Size([64, 71])
sorted_opacity shape: torch.Size([49, 1]), gauss_weight shape: torch.Size([64, 49])
sorted_opacity shape: torch.Size([34, 1]), gauss_weight shape: torch.Size([64, 34])
sorted_opacity shape: torch.Size([24, 1]), gauss_weight shape: torch.Size([64, 24])
sorted_opacity shape: torch.Size([41, 1]), gauss_weight shape: torch.Size([64, 41])
sorted_opacity shape: torch.Size([59, 1]), gauss_weight shape: torch.Size([64, 59])
sorted_opacity shape: torch.Size([68, 1]), gauss_weight shape: torch.Size([64, 68])
sorted_opacity shape: torch.Size([92, 1]), gauss_weight shape: torch.Size([64, 92])
sorted_opacity shape: torch.Size([148, 1]), gauss_weight shape: torch.Size([64, 148])
sorted_opacity shape: torch.Size([253, 1]), gauss_weight shape: torch.Size([64, 253])
sorted_opacity shape: torch.Size([391, 1]), gauss_weight shape: torch.Size([64, 391])
sorted_opacity shape: torch.Size([534, 1]), gauss_weight shape: torch.Size([64, 534])
sorted_opacity shape: torch.Size([681, 1]), gauss_weight shape: torch.Size([64, 681])
sorted_opacity shape: torch.Size([821, 1]), gauss_weight shape: torch.Size([64, 821])
sorted_opacity shape: torch.Size([977, 1]), gauss_weight shape: torch.Size([64, 977])
sorted_opacity shape: torch.Size([1111, 1]), gauss_weight shape: torch.Size([64, 1111])
sorted_opacity shape: torch.Size([1221, 1]), gauss_weight shape: torch.Size([64, 1221])
sorted_opacity shape: torch.Size([1297, 1]), gauss_weight shape: torch.Size([64, 1297])
sorted_opacity shape: torch.Size([1344, 1]), gauss_weight shape: torch.Size([64, 1344])
sorted_opacity shape: torch.Size([1355, 1]), gauss_weight shape: torch.Size([64, 1355])
sorted_opacity shape: torch.Size([1301, 1]), gauss_weight shape: torch.Size([64, 1301])
sorted_opacity shape: torch.Size([1220, 1]), gauss_weight shape: torch.Size([64, 1220])
sorted_opacity shape: torch.Size([1119, 1]), gauss_weight shape: torch.Size([64, 1119])
sorted_opacity shape: torch.Size([975, 1]), gauss_weight shape: torch.Size([64, 975])
sorted_opacity shape: torch.Size([818, 1]), gauss_weight shape: torch.Size([64, 818])
sorted_opacity shape: torch.Size([678, 1]), gauss_weight shape: torch.Size([64, 678])
sorted_opacity shape: torch.Size([534, 1]), gauss_weight shape: torch.Size([64, 534])
sorted_opacity shape: torch.Size([384, 1]), gauss_weight shape: torch.Size([64, 384])
sorted_opacity shape: torch.Size([259, 1]), gauss_weight shape: torch.Size([64, 259])
sorted_opacity shape: torch.Size([138, 1]), gauss_weight shape: torch.Size([64, 138])
sorted_opacity shape: torch.Size([82, 1]), gauss_weight shape: torch.Size([64, 82])
sorted_opacity shape: torch.Size([52, 1]), gauss_weight shape: torch.Size([64, 52])
sorted_opacity shape: torch.Size([37, 1]), gauss_weight shape: torch.Size([64, 37])
sorted_opacity shape: torch.Size([26, 1]), gauss_weight shape: torch.Size([64, 26])
sorted_opacity shape: torch.Size([43, 1]), gauss_weight shape: torch.Size([64, 43])
